cmc_rank,date_added,symbol,name,price,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,Ticker,Memetics,Risk,Category,Minimal BI,Optimal BI,Generational Price,60x Buy Price,D4,Lower Target Price,Median Target Price,Out Target Price,WW,Last Update,Target Price Source,Strategy Tier,Focus List,Investement %,Price in November 10th (2022),Buy,Drop needed Minimal BI,Drop  needed to Optimal BI,Drop needed to 60x
2475,2023-07-17T12:36:35.000Z,BROCK,Bitrock,0.07266846530157595,0.19,5.99,-17.94,25.49,1907.04,1907.04,BROCK,,Degen (GHR),Layer 2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,Super Risk One Shot,1.0,,N/A,0,100,100,100
1,2010-07-13T00:00:00.000Z,BTC,Bitcoin,25860.35499284005,0.13,0.99,-1.88,-12.99,-14.58,-2.34,BTC,,Stable(LR),Store of Value,14000.0,12000.0,9000.0,1666.666667,,0.0,100000.0,200000.0,0.0,,,No Risk Portfolio,,,15863.9965,0,45.86,53.6,93.56
2469,2022-08-22T12:47:13.000Z,CANTO,CANTO,0.08839412860113581,-0.02,0.006,-0.04,-17.8,-28.41,-41.31,CANTO,,Degen (GHR),Defi,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,Blocked,,,N/A,0,100,100,100
920,2023-04-10T12:12:43.000Z,CGPT,ChainGPT,0.04439786248782471,0.37,-5.9,-21.04,-27.86,-41.99,-59.65,CGPT,,Degen (GHR),AI,0.0,0.03,0.025,0.033333333,,1.5,2.0,2.5,31.0,45140.0,Suppoman,Super Risk One Shot,,,N/A,0,100,32.43,24.92
80,2020-07-21T00:00:00.000Z,CSPR,Casper,0.034134911566236235,-0.4,-0.3,-2.96,-14.94,-8.75,-21.65,CSPR,,Medium Risk (VHR),Adoption,0.018,0.015,0.0099,0.016666667,,0.0,1.0,2.0,0.0,,Suppoman,Invest After Research,,,0.1227,0,47.27,56.06,51.17
758,2022-01-31T02:46:54.000Z,CULT,Cult DAO,2.144962331065731e-06,1.28,2.04,3.53,-17.13,-27.19,-35.4,CULT,,Degen (GHR),Meme,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,Blocked,,,5.06651e-06,0,100,100,100
456,2021-08-24T00:00:00.000Z,DAR,Mines of Dalarnia,0.08357685206366204,0.01,-1.25,1.51,-22.14,-16.82,-26.97,DAR,,High Risk (EHR),Gaming,0.05,0.0,0.0,0.0,,0.0,0.0,0.0,28.0,45108.0,Suppoman,Price Target only,,,N/A,0,40.17,100,100
702,2022-08-16T15:08:33.000Z,DC,Dogechain,0.0005491634173096888,-0.48,0.23,-8.64,-17.48,-16.51,-23.4,DC,,High Risk (EHR),Layer 1,0.0004,0.0001,8e-05,0.000416667,,0.0,0.025,0.05,0.0,,Suppoman,Invest and Hold,1.0,0.05,0.001102981,0,27.16,81.79,24.13
259,2021-06-15T00:00:00.000Z,DESO,Decentralized Social,8.794749027315074,-0.08,0.47,-2.55,-2.7,-0.83,-6.05,DESO,,High Risk (EHR),Social Media,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,Invest After Research,1.0,0.03,9.155,0,100,77.26,100
677,2021-12-23T16:34:38.000Z,DOME,Everdome,0.000700660299514293,0.03,1.44,-6.85,-31.56,-39.04,-43.99,DOME,,High Risk (EHR),Metaverse,0.0,0.0005,0.0,0.001041667,,0.025,0.0625,0.1,26.0,45107.0,Suppman,Super Risk One Shot,,,0.002043,3,100,28.64,-48.67
